Points,Tier,Reward,Details,Images
5,STARTER,Ballpens,Red / Black / Blue,image1.jpeg
10,STARTER,Ballpens + Yellow paper + Correction,,image2.jpeg
15,STARTER,Ballpens + Yellow paper + Correction + Bond paper,Bond paper: 20 pcs,image3.jpeg
20,STARTER,Ballpens + Yellow paper + Correction + Bond paper + Binder envelope,Bond paper: 20 pcs,image4.jpeg
25,ACTIVE,Exclusive school supplies bundle,,image5.jpeg
30,ACTIVE,Food coupons / budget,₱350–400,image6.jpeg
35,ACTIVE,Water bottles or tote bags,,image7.jpeg
40,ACTIVE,Gaming credits,₱450,image8.jpeg
45,ACHIEVER,Thermo flask,,image9.jpeg
50,ACHIEVER,Sports equipment,,image10.jpeg
55,ACHIEVER,E-fan,,image15.png
60,ACHIEVER,Headphones / Earphones,,image16.png
65,CHAMPION,Power bank,"30,000 mAh",image11.jpeg
70,CHAMPION,Phone,,image12.jpeg
75,CHAMPION,Tablet,,image13.jpeg;image14.jpeg
